txIdx,timestamp,height,latency
0,1.737893541449e+12,4,4977
1,1.737893541612e+12,4,4814
2,1.73789354145e+12,4,4976
3,1.737893541569e+12,4,4857
4,1.737893541449e+12,4,4977
5,1.737893541611e+12,4,4815
6,1.737893541456e+12,4,4970
7,1.737893541456e+12,4,4970
8,1.737893541611e+12,4,4815
9,1.737893541611e+12,4,4815
10,1.737893541611e+12,4,4815
11,1.737893541661e+12,4,4765
12,1.737893541612e+12,4,4814
13,1.737893541611e+12,4,4815
14,1.737893541615e+12,4,4811
15,1.737893541702e+12,4,4724
16,1.73789354145e+12,4,4976
17,1.737893541611e+12,4,4815
18,1.737893541457e+12,4,4969
19,1.737893541456e+12,4,4970
20,1.737893541612e+12,4,4814
21,1.737893541457e+12,4,4969
22,1.737893541611e+12,4,4815
23,1.73789354145e+12,4,4976
24,1.737893541456e+12,4,4970
25,1.737893541556e+12,4,4870
26,1.737893541564e+12,4,4862
27,1.737893541616e+12,4,4810
28,1.737893541456e+12,4,4970
29,1.737893541612e+12,4,4814
30,1.737893541555e+12,4,4871
31,1.737893541611e+12,4,4815
32,1.737893541623e+12,4,4803
33,1.737893541611e+12,4,4815
34,1.737893541449e+12,4,4977
35,1.737893541611e+12,4,4815
36,1.737893541611e+12,4,4815
37,1.737893541499e+12,4,4927
38,1.737893541611e+12,4,4815
39,1.737893541457e+12,4,4969
40,1.737893541622e+12,4,4804
41,1.737893541612e+12,4,4814
42,1.737893541623e+12,4,4803
43,1.737893541555e+12,4,4871
44,1.737893541456e+12,4,4970
45,1.737893541456e+12,4,4970
46,1.737893541555e+12,4,4871
47,1.737893541495e+12,4,4931
48,1.737893541555e+12,4,4871
49,1.737893541611e+12,4,4815
50,1.737893541555e+12,4,4871
51,1.737893541611e+12,4,4815
52,1.737893541495e+12,4,4931
53,1.737893541495e+12,4,4931
54,1.737893541555e+12,4,4871
55,1.737893541565e+12,4,4861
56,1.737893541556e+12,4,4870
57,1.73789354157e+12,4,4856
58,1.737893541611e+12,4,4815
59,1.737893541557e+12,4,4869
60,1.7378935415e+12,4,4926
61,1.737893541555e+12,4,4871
62,1.737893541555e+12,4,4871
63,1.737893541611e+12,4,4815
64,1.737893541555e+12,4,4871
65,1.73789354164e+12,4,4786
66,1.737893541611e+12,4,4815
67,1.737893541614e+12,4,4812
68,1.737893541495e+12,4,4931
69,1.737893541611e+12,4,4815
70,1.737893541629e+12,4,4797
71,1.737893541611e+12,4,4815
72,1.737893541611e+12,4,4815
73,1.737893541555e+12,4,4871
74,1.737893541555e+12,4,4871
75,1.737893541555e+12,4,4871
76,1.737893541612e+12,4,4814
77,1.737893541611e+12,4,4815
78,1.737893541503e+12,4,4923
79,1.737893541457e+12,4,4969
80,1.737893541619e+12,4,4807
81,1.737893541453e+12,4,4973
82,1.737893541495e+12,4,4931
83,1.737893541628e+12,4,4798
84,1.737893541611e+12,4,4815
85,1.737893541611e+12,4,4815
86,1.737893541495e+12,4,4931
87,1.737893541611e+12,4,4815
88,1.737893541496e+12,4,4930
89,1.737893541611e+12,4,4815
90,1.737893541556e+12,4,4870
91,1.737893541456e+12,4,4970
92,1.737893541611e+12,4,4815
93,1.737893541457e+12,4,4969
94,1.737893541454e+12,4,4972
95,1.737893541456e+12,4,4970
96,1.737893541504e+12,4,4922
97,1.737893541556e+12,4,4870
98,1.737893541556e+12,4,4870
99,1.737893541495e+12,4,4931
100,1.737893541555e+12,4,4871
101,1.737893541628e+12,4,4798
102,1.737893541555e+12,4,4871
103,1.737893541619e+12,4,4807
104,1.737893541495e+12,4,4931
105,1.737893541555e+12,4,4871
106,1.737893541628e+12,4,4798
107,1.737893541556e+12,4,4870
108,1.73789354157e+12,4,4856
109,1.737893541456e+12,4,4970
110,1.737893541499e+12,4,4927
