txIdx,timestamp,height,latency
0,1.737799808992e+12,4,13041
1,1.737799808875e+12,4,13158
2,1.737799809039e+12,4,12994
3,1.737799808962e+12,4,13071
4,1.737799809039e+12,4,12994
5,1.737799808992e+12,4,13041
6,1.737799809005e+12,4,13028
7,1.737799809004e+12,4,13029
8,1.737799808875e+12,4,13158
9,1.737799809039e+12,4,12994
10,1.737799808992e+12,4,13041
11,1.737799809005e+12,4,13028
12,1.737799809039e+12,4,12994
13,1.737799808908e+12,4,13125
14,1.737799808991e+12,4,13042
15,1.737799808951e+12,4,13082
16,1.737799808955e+12,4,13078
17,1.737799808954e+12,4,13079
18,1.737799809039e+12,4,12994
19,1.737799809039e+12,4,12994
20,1.737799808953e+12,4,13080
21,1.737799809045e+12,4,12988
22,1.737799809003e+12,4,13030
23,1.737799808875e+12,4,13158
24,1.73779980904e+12,4,12993
25,1.73779980895e+12,4,13083
26,1.737799809001e+12,4,13032
27,1.737799809039e+12,4,12994
28,1.737799809039e+12,4,12994
29,1.737799809041e+12,4,12992
30,1.737799809005e+12,4,13028
31,1.737799808946e+12,4,13087
32,1.737799809e+12,4,13033
33,1.737799808999e+12,4,13034
34,1.737799808953e+12,4,13080
35,1.737799808956e+12,4,13077
36,1.737799808955e+12,4,13078
37,1.737799808946e+12,4,13087
38,1.73779980895e+12,4,13083
39,1.737799809039e+12,4,12994
40,1.737799809039e+12,4,12994
41,1.737799808908e+12,4,13125
42,1.737799808992e+12,4,13041
43,1.737799808954e+12,4,13079
44,1.737799808947e+12,4,13086
45,1.737799809003e+12,4,13030
46,1.737799808951e+12,4,13082
47,1.737799808958e+12,4,13075
48,1.737799808917e+12,4,13116
49,1.737799808992e+12,4,13041
50,1.737799808953e+12,4,13080
51,1.737799808952e+12,4,13081
52,1.737799809003e+12,4,13030
53,1.737799808909e+12,4,13124
54,1.737799808955e+12,4,13078
55,1.737799808909e+12,4,13124
56,1.737799808951e+12,4,13082
57,1.73779980895e+12,4,13083
58,1.737799809149e+12,4,12884
59,1.737799808952e+12,4,13081
60,1.737799809e+12,4,13033
61,1.737799808952e+12,4,13081
62,1.737799809151e+12,4,12882
63,1.737799809003e+12,4,13030
64,1.737799808946e+12,4,13087
65,1.737799808952e+12,4,13081
66,1.737799808909e+12,4,13124
67,1.737799809039e+12,4,12994
68,1.737799808944e+12,4,13089
69,1.737799808954e+12,4,13079
70,1.737799808917e+12,4,13116
71,1.737799809039e+12,4,12994
72,1.737799808915e+12,4,13118
73,1.737799808992e+12,4,13041
74,1.737799808946e+12,4,13087
75,1.737799809003e+12,4,13030
76,1.737799808909e+12,4,13124
77,1.737799808908e+12,4,13125
78,1.737799808952e+12,4,13081
79,1.73779980916e+12,4,12873
80,1.737799809039e+12,4,12994
81,1.73779980895e+12,4,13083
82,1.737799808915e+12,4,13118
83,1.737799808954e+12,4,13079
84,1.737799809039e+12,4,12994
85,1.737799808991e+12,4,13042
86,1.737799808992e+12,4,13041
87,1.737799809039e+12,4,12994
88,1.737799809039e+12,4,12994
89,1.737799809045e+12,4,12988
90,1.737799808917e+12,4,13116
91,1.737799809041e+12,4,12992
92,1.73779980895e+12,4,13083
93,1.737799808954e+12,4,13079
94,1.737799809039e+12,4,12994
95,1.73779980904e+12,4,12993
96,1.737799809039e+12,4,12994
97,1.737799808911e+12,4,13122
98,1.737799808958e+12,4,13075
99,1.737799809039e+12,4,12994
100,1.737799808951e+12,4,13082
101,1.737799808916e+12,4,13117
102,1.737799808908e+12,4,13125
103,1.737799809005e+12,4,13028
104,1.737799809039e+12,4,12994
105,1.737799809146e+12,4,12887
106,1.737799808918e+12,4,13115
107,1.737799808956e+12,4,13077
108,1.737799808952e+12,4,13081
109,1.737799809039e+12,4,12994
110,1.737799808992e+12,4,13041
111,1.73779980904e+12,4,12993
112,1.737799809039e+12,4,12994
113,1.737799808993e+12,4,13040
114,1.737799808946e+12,4,13087
115,1.737799808992e+12,4,13041
116,1.737799808946e+12,4,13087
117,1.737799809039e+12,4,12994
118,1.737799808952e+12,4,13081
119,1.737799808993e+12,4,13040
120,1.737799809039e+12,4,12994
121,1.737799809142e+12,4,12891
122,1.737799808911e+12,4,13122
123,1.737799809039e+12,4,12994
124,1.737799808951e+12,4,13082
125,1.737799808947e+12,4,13086
126,1.737799808916e+12,4,13117
127,1.737799809046e+12,4,12987
128,1.737799808908e+12,4,13125
129,1.737799809039e+12,4,12994
130,1.73779980895e+12,4,13083
131,1.737799808915e+12,4,13118
132,1.737799809039e+12,4,12994
133,1.737799808916e+12,4,13117
134,1.737799808946e+12,4,13087
135,1.73779980895e+12,4,13083
136,1.737799809039e+12,4,12994
137,1.737799809158e+12,4,12875
138,1.73779980915e+12,4,12883
139,1.737799809046e+12,4,12987
140,1.737799808992e+12,4,13041
141,1.737799808992e+12,4,13041
142,1.737799808991e+12,4,13042
143,1.737799808947e+12,4,13086
144,1.737799809039e+12,4,12994
145,1.737799808913e+12,4,13120
146,1.737799808946e+12,4,13087
147,1.737799808992e+12,4,13041
148,1.737799808948e+12,4,13085
149,1.737799808991e+12,4,13042
150,1.737799808947e+12,4,13086
151,1.73779980895e+12,4,13083
152,1.737799808992e+12,4,13041
153,1.737799809145e+12,4,12888
154,1.737799808946e+12,4,13087
155,1.73779980895e+12,4,13083
156,1.737799808948e+12,4,13085
157,1.737799808962e+12,4,13071
158,1.737799808991e+12,4,13042
159,1.737799809039e+12,4,12994
