txIdx,timestamp,height,latency
0,1.737903761117e+12,24,7517
1,1.737903761115e+12,24,7519
2,1.737903761116e+12,24,7518
3,1.737903761171e+12,24,7463
4,1.737903761171e+12,24,7463
5,1.737903761116e+12,24,7518
6,1.737903761117e+12,24,7517
7,1.737903761171e+12,24,7463
8,1.737903761072e+12,24,7562
9,1.737903761115e+12,24,7519
10,1.737903761069e+12,24,7565
11,1.737903761171e+12,24,7463
12,1.737903761117e+12,24,7517
13,1.737903761171e+12,24,7463
14,1.737903761118e+12,24,7516
15,1.737903761114e+12,24,7520
16,1.737903761073e+12,24,7561
17,1.737903761116e+12,24,7518
18,1.737903761069e+12,24,7565
19,1.737903761072e+12,24,7562
20,1.737903761116e+12,24,7518
21,1.737903761068e+12,24,7566
22,1.737903761116e+12,24,7518
23,1.737903761116e+12,24,7518
24,1.737903761072e+12,24,7562
25,1.737903761073e+12,24,7561
26,1.737903761068e+12,24,7566
27,1.737903761068e+12,24,7566
28,1.737903761115e+12,24,7519
29,1.737903761117e+12,24,7517
30,1.737903761171e+12,24,7463
31,1.737903761116e+12,24,7518
32,1.737903761206e+12,24,7428
33,1.737903761171e+12,24,7463
34,1.737903761114e+12,24,7520
35,1.737903761071e+12,24,7563
36,1.737903761116e+12,24,7518
37,1.737903761171e+12,24,7463
38,1.737903761117e+12,24,7517
39,1.737903761118e+12,24,7516
40,1.737903761047e+12,24,7587
41,1.737903761113e+12,24,7521
42,1.737903761068e+12,24,7566
43,1.737903761116e+12,24,7518
44,1.737903761113e+12,24,7521
45,1.737903761068e+12,24,7566
46,1.737903761116e+12,24,7518
47,1.737903761116e+12,24,7518
48,1.737903761068e+12,24,7566
49,1.737903761072e+12,24,7562
50,1.737903761072e+12,24,7562
51,1.737903761115e+12,24,7519
52,1.737903761171e+12,24,7463
53,1.737903761072e+12,24,7562
54,1.737903761072e+12,24,7562
55,1.737903761116e+12,24,7518
56,1.737903761171e+12,24,7463
57,1.737903761116e+12,24,7518
58,1.737903761113e+12,24,7521
59,1.737903761116e+12,24,7518
60,1.737903761114e+12,24,7520
61,1.737903761115e+12,24,7519
62,1.737903761071e+12,24,7563
63,1.737903761112e+12,24,7522
64,1.737903761115e+12,24,7519
65,1.737903761115e+12,24,7519
66,1.737903761171e+12,24,7463
67,1.737903761114e+12,24,7520
68,1.737903761117e+12,24,7517
69,1.737903761115e+12,24,7519
70,1.737903761171e+12,24,7463
71,1.737903761116e+12,24,7518
72,1.737903761068e+12,24,7566
73,1.737903761171e+12,24,7463
74,1.737903761047e+12,24,7587
75,1.737903761068e+12,24,7566
76,1.737903761117e+12,24,7517
77,1.737903761118e+12,24,7516
78,1.737903761071e+12,24,7563
79,1.737903761112e+12,24,7522
80,1.737903761187e+12,24,7447
81,1.737903761118e+12,24,7516
82,1.737903761115e+12,24,7519
83,1.737903761114e+12,24,7520
84,1.737903761072e+12,24,7562
85,1.737903761071e+12,24,7563
86,1.737903761068e+12,24,7566
87,1.737903761115e+12,24,7519
88,1.737903761115e+12,24,7519
89,1.737903761116e+12,24,7518
90,1.737903761175e+12,24,7459
91,1.737903761117e+12,24,7517
92,1.737903761115e+12,24,7519
93,1.737903761116e+12,24,7518
94,1.737903761117e+12,24,7517
95,1.737903761171e+12,24,7463
96,1.737903761113e+12,24,7521
97,1.737903761117e+12,24,7517
98,1.737903761072e+12,24,7562
99,1.737903761071e+12,24,7563
100,1.737903761118e+12,24,7516
101,1.737903761072e+12,24,7562
102,1.737903761071e+12,24,7563
103,1.737903761069e+12,24,7565
104,1.737903761071e+12,24,7563
105,1.737903761068e+12,24,7566
106,1.737903761115e+12,24,7519
107,1.737903761113e+12,24,7521
108,1.737903761116e+12,24,7518
109,1.737903761068e+12,24,7566
110,1.737903761114e+12,24,7520
111,1.737903761117e+12,24,7517
112,1.737903761113e+12,24,7521
113,1.737903761114e+12,24,7520
114,1.737903761115e+12,24,7519
115,1.737903761171e+12,24,7463
116,1.737903761171e+12,24,7463
117,1.737903761113e+12,24,7521
118,1.737903761171e+12,24,7463
119,1.737903761174e+12,24,7460
120,1.737903761115e+12,24,7519
121,1.737903761116e+12,24,7518
122,1.737903761171e+12,24,7463
123,1.737903761172e+12,24,7462
124,1.737903761116e+12,24,7518
125,1.737903761117e+12,24,7517
126,1.737903761115e+12,24,7519
127,1.73790376126e+12,24,7374
128,1.737903761171e+12,24,7463
129,1.737903761118e+12,24,7516
130,1.737903761118e+12,24,7516
131,1.737903761171e+12,24,7463
132,1.737903761171e+12,24,7463
133,1.737903761117e+12,24,7517
134,1.737903761171e+12,24,7463
135,1.737903761115e+12,24,7519
136,1.737903761072e+12,24,7562
137,1.737903761117e+12,24,7517
138,1.737903761071e+12,24,7563
139,1.737903761213e+12,24,7421
140,1.737903761171e+12,24,7463
141,1.737903761117e+12,24,7517
142,1.737903761172e+12,24,7462
143,1.737903761219e+12,24,7415
144,1.737903761116e+12,24,7518
145,1.737903761171e+12,24,7463
146,1.737903761117e+12,24,7517
147,1.737903761172e+12,24,7462
148,1.737903761171e+12,24,7463
149,1.737903761115e+12,24,7519
150,1.737903761171e+12,24,7463
151,1.737903761171e+12,24,7463
152,1.737903761172e+12,24,7462
153,1.737903761175e+12,24,7459
154,1.737903761115e+12,24,7519
155,1.737903761171e+12,24,7463
156,1.737903761171e+12,24,7463
157,1.737903761068e+12,24,7566
158,1.737903761174e+12,24,7460
159,1.737903761113e+12,24,7521
160,1.737903761117e+12,24,7517
161,1.737903761113e+12,24,7521
162,1.737903761068e+12,24,7566
163,1.737903761071e+12,24,7563
164,1.737903761113e+12,24,7521
165,1.737903761072e+12,24,7562
166,1.737903761069e+12,24,7565
167,1.737903761171e+12,24,7463
168,1.737903761116e+12,24,7518
169,1.737903761116e+12,24,7518
170,1.737903761117e+12,24,7517
171,1.737903761113e+12,24,7521
172,1.737903761117e+12,24,7517
173,1.737903761171e+12,24,7463
174,1.737903761171e+12,24,7463
175,1.737903761172e+12,24,7462
176,1.737903761116e+12,24,7518
177,1.737903761116e+12,24,7518
178,1.737903761116e+12,24,7518
179,1.737903761175e+12,24,7459
180,1.737903761171e+12,24,7463
181,1.737903761113e+12,24,7521
182,1.737903761117e+12,24,7517
183,1.737903761115e+12,24,7519
184,1.737903761171e+12,24,7463
185,1.737903761116e+12,24,7518
186,1.737903761171e+12,24,7463
187,1.737903761072e+12,24,7562
188,1.737903761171e+12,24,7463
189,1.737903761072e+12,24,7562
190,1.737903761116e+12,24,7518
191,1.737903761071e+12,24,7563
192,1.737903761171e+12,24,7463
193,1.737903761118e+12,24,7516
194,1.737903761171e+12,24,7463
195,1.737903761172e+12,24,7462
196,1.737903761116e+12,24,7518
197,1.737903761118e+12,24,7516
198,1.737903761171e+12,24,7463
199,1.737903761071e+12,24,7563
200,1.737903761116e+12,24,7518
201,1.737903761187e+12,24,7447
202,1.737903761113e+12,24,7521
203,1.737903761117e+12,24,7517
204,1.737903761115e+12,24,7519
205,1.737903761071e+12,24,7563
206,1.737903761171e+12,24,7463
207,1.737903761116e+12,24,7518
208,1.737903761116e+12,24,7518
209,1.737903761071e+12,24,7563
210,1.737903761171e+12,24,7463
211,1.737903761117e+12,24,7517
212,1.737903761116e+12,24,7518
213,1.737903761171e+12,24,7463
214,1.737903761117e+12,24,7517
215,1.737903761171e+12,24,7463
216,1.737903761172e+12,24,7462
217,1.737903761118e+12,24,7516
218,1.737903761115e+12,24,7519
219,1.737903761171e+12,24,7463
220,1.737903761116e+12,24,7518
221,1.737903761112e+12,24,7522
222,1.737903761117e+12,24,7517
223,1.737903761175e+12,24,7459
224,1.737903761171e+12,24,7463
225,1.737903761171e+12,24,7463
226,1.737903761117e+12,24,7517
227,1.737903761174e+12,24,7460
228,1.737903761171e+12,24,7463
229,1.737903761193e+12,24,7441
230,1.737903761198e+12,24,7436
231,1.737903761185e+12,24,7449
232,1.737903761171e+12,24,7463
233,1.737903761191e+12,24,7443
234,1.737903761171e+12,24,7463
235,1.737903761171e+12,24,7463
236,1.737903761171e+12,24,7463
237,1.737903761171e+12,24,7463
238,1.737903761177e+12,24,7457
239,1.737903761175e+12,24,7459
240,1.737903761171e+12,24,7463
241,1.737903761175e+12,24,7459
242,1.737903761186e+12,24,7448
243,1.737903761171e+12,24,7463
