timestamp,height,latency,txIdx
1.737801705003e+12,29,100241,594
1.737801705003e+12,22,48200,383
1.737801705003e+12,16,1360,600
1.737801705003e+12,16,1360,177
1.737801705003e+12,16,1360,648
1.737801705003e+12,16,1360,677
1.737801705004e+12,21,41268,411
1.737801705006e+12,24,63538,0
1.737801705006e+12,16,1357,89
1.737801705007e+12,20,33053,122
1.737801705008e+12,16,1355,153
1.737801705008e+12,24,63536,144
1.737801705009e+12,16,1354,157
1.737801705011e+12,18,17087,500
1.737801705011e+12,29,100233,502
1.737801705012e+12,17,9344,799
1.737801705012e+12,16,1351,385
1.737801705013e+12,23,55825,88
1.737801705013e+12,21,41259,38
1.737801705013e+12,16,1350,437
1.737801705015e+12,16,1348,325
1.737801705016e+12,29,100228,90
1.737801705017e+12,17,9339,146
1.737801705017e+12,28,92876,203
1.737801705018e+12,16,1345,121
1.737801705018e+12,23,55820,163
1.737801705019e+12,16,1344,145
1.73780170502e+12,29,100224,223
1.737801705021e+12,16,1342,165
1.737801705022e+12,18,17076,174
1.737801705023e+12,16,1340,41
1.737801705023e+12,23,55815,235
1.737801705024e+12,16,1339,173
1.737801705025e+12,19,24928,214
1.737801705026e+12,16,1337,181
1.737801705026e+12,17,9330,424
1.737801705027e+12,16,1336,5
1.737801705027e+12,17,9329,218
1.737801705028e+12,19,24925,222
1.737801705028e+12,16,1335,189
1.737801705029e+12,16,1334,193
1.737801705031e+12,18,17067,250
1.737801705031e+12,16,1332,209
1.737801705032e+12,23,55806,266
1.737801705033e+12,16,1330,213
1.737801705033e+12,27,85490,290
1.737801705034e+12,16,1329,221
1.737801705035e+12,16,1328,257
1.737801705036e+12,16,1327,273
1.737801705037e+12,16,1326,149
1.737801705037e+12,20,33023,724
1.737801705038e+12,17,9318,386
1.737801705039e+12,16,1324,229
1.737801705039e+12,27,85484,282
1.737801705039e+12,25,71051,136
1.73780170504e+12,24,63504,635
1.73780170504e+12,16,1323,329
1.737801705041e+12,26,78390,200
1.737801705042e+12,16,1321,261
1.737801705042e+12,20,33018,195
1.737801705043e+12,17,9313,608
1.737801705045e+12,18,17053,686
1.737801705045e+12,27,85478,382
1.737801705045e+12,16,1318,253
1.737801705045e+12,16,1318,197
1.737801705045e+12,24,63499,356
1.737801705046e+12,16,1317,689
1.737801705004e+12,28,92889,446
1.737801705046e+12,17,9310,284
1.737801705003e+12,16,1360,125
1.737801705046e+12,16,1317,225
1.737801705048e+12,16,1315,345
1.737801705048e+12,24,63496,506
1.737801705048e+12,18,17050,167
1.737801705048e+12,16,1315,497
1.73780170505e+12,25,71040,634
1.73780170505e+12,29,100194,236
1.73780170505e+12,16,1313,245
1.737801705051e+12,19,24902,183
1.737801705051e+12,21,41221,536
1.737801705052e+12,18,17046,538
1.737801705052e+12,16,1311,309
1.737801705052e+12,23,55786,176
1.737801705053e+12,20,33007,34
1.737801705054e+12,29,100190,159
1.737801705054e+12,16,1309,653
1.737801705055e+12,27,85468,43
1.737801705055e+12,16,1308,517
1.737801705056e+12,21,41216,460
1.737801705057e+12,16,1306,685
1.737801705058e+12,17,9298,526
1.737801705058e+12,16,1305,753
1.737801705058e+12,22,48145,243
1.737801705059e+12,17,9297,255
1.737801705059e+12,22,48144,172
1.737801705059e+12,17,9297,750
1.73780170506e+12,16,1303,217
1.737801705061e+12,26,78370,734
1.737801705061e+12,28,92832,188
1.737801705062e+12,24,63482,626
1.737801705062e+12,16,1301,17
1.737801705064e+12,21,41208,355
1.737801705064e+12,16,1299,409
1.737801705064e+12,18,17034,216
1.737801705065e+12,16,1298,85
1.737801705065e+12,27,85458,311
1.737801705065e+12,27,85458,550
1.737801705065e+12,16,1298,429
1.737801705066e+12,25,71024,350
1.737801705067e+12,22,48136,455
1.737801705067e+12,16,1296,169
1.737801705068e+12,19,24885,260
1.737801705069e+12,20,32991,215
1.737801705069e+12,16,1294,249
1.73780170507e+12,17,9286,228
1.73780170507e+12,24,63474,479
1.737801705071e+12,22,48132,256
1.737801705072e+12,16,1291,713
1.737801705072e+12,25,71018,300
1.737801705072e+12,27,85451,351
1.737801705072e+12,23,55766,570
1.737801705073e+12,17,9283,320
1.737801705073e+12,16,1290,129
1.737801705074e+12,29,100170,348
1.737801705075e+12,27,85448,687
1.737801705076e+12,16,1287,305
1.737801705077e+12,16,1286,421
1.737801705078e+12,20,32982,111
1.737801705079e+12,17,9277,252
1.737801705079e+12,16,1284,137
1.737801705117e+12,16,1246,525
1.737801705118e+12,20,32942,182
1.73780170512e+12,16,1243,1
1.73780170512e+12,16,1243,37
1.73780170512e+12,16,1243,493
1.73780170512e+12,19,24833,96
1.73780170512e+12,28,92773,78
1.73780170508e+12,20,32980,507
1.73780170512e+12,27,85403,554
1.73780170512e+12,24,63424,562
1.73780170512e+12,27,85403,130
1.73780170512e+12,16,1243,477
1.737801705121e+12,23,55717,472
1.737801705121e+12,16,1242,237
1.73780170512e+12,26,78311,170
1.73780170512e+12,22,48083,391
1.73780170512e+12,16,1243,501
1.737801705121e+12,17,9235,559
1.73780170512e+12,16,1243,393
1.73780170512e+12,16,1243,161
1.737801705121e+12,16,1242,553
1.73780170512e+12,23,55718,712
1.737801705121e+12,29,100123,532
1.737801705121e+12,24,63423,330
1.737801705121e+12,25,70969,534
1.737801705121e+12,16,1242,601
1.737801705121e+12,28,92772,779
1.737801705121e+12,20,32939,99
1.737801705121e+12,16,1242,489
1.737801705121e+12,16,1242,541
1.737801705121e+12,21,41151,139
1.737801705121e+12,17,9235,50
1.737801705121e+12,19,24832,103
1.737801705121e+12,16,1242,49
1.737801705121e+12,16,1242,389
1.737801705121e+12,21,41151,31
1.737801705121e+12,19,24832,423
1.737801705121e+12,29,100123,36
1.737801705121e+12,16,1242,529
1.737801705121e+12,16,1242,185
1.737801705121e+12,17,9235,104
1.737801705121e+12,23,55717,528
1.737801705121e+12,16,1242,545
1.737801705121e+12,16,1242,461
1.737801705121e+12,28,92772,323
1.737801705121e+12,16,1242,233
1.737801705121e+12,28,92772,422
1.737801705121e+12,27,85402,484
1.737801705121e+12,19,24832,431
1.737801705121e+12,22,48082,427
1.737801705121e+12,22,48082,28
1.737801705121e+12,24,63423,278
1.737801705121e+12,16,1242,205
1.737801705121e+12,29,100123,92
1.737801705121e+12,18,16977,274
1.737801705122e+12,27,85401,98
1.737801705121e+12,16,1242,45
1.737801705005e+12,21,41267,254
1.737801705121e+12,17,9235,399
1.737801705121e+12,26,78310,291
1.737801705121e+12,18,16977,530
1.737801705122e+12,20,32938,155
1.737801705124e+12,16,1239,505
1.737801705124e+12,24,63420,360
1.737801705124e+12,25,70966,307
1.737801705125e+12,19,24828,375
1.737801705125e+12,16,1238,97
1.737801705125e+12,18,16973,560
1.737801705126e+12,19,24827,47
1.737801705126e+12,17,9230,354
1.737801705126e+12,24,63418,448
1.737801705126e+12,16,1237,433
1.737801705127e+12,16,1236,761
1.737801705128e+12,23,55710,364
1.737801705129e+12,16,1234,317
1.737801705129e+12,28,92764,462
1.73780170513e+12,27,85393,303
1.737801705131e+12,20,32929,10
1.737801705131e+12,16,1232,417
1.737801705131e+12,28,92762,95
1.737801705132e+12,19,24821,20
1.737801705132e+12,16,1231,241
1.737801705132e+12,27,85391,275
1.737801705133e+12,25,70957,24
1.737801705133e+12,26,78298,32
1.737801705134e+12,23,55704,22
1.737801705134e+12,16,1229,133
1.737801705134e+12,25,70956,71
1.737801705135e+12,16,1228,277
1.737801705136e+12,28,92757,496
1.737801705136e+12,23,55702,343
1.737801705137e+12,16,1226,473
1.737801705137e+12,18,16961,26
1.737801705138e+12,16,1225,141
1.737801705138e+12,23,55700,707
1.737801705139e+12,25,70951,312
1.737801705139e+12,16,1224,557
1.737801705139e+12,24,63405,511
1.737801705141e+12,19,24812,624
1.737801705141e+12,22,48062,491
1.737801705141e+12,16,1222,293
1.737801705141e+12,25,70949,68
1.737801705142e+12,28,92751,262
1.737801705142e+12,16,1221,9
1.737801705142e+12,18,16956,452
1.737801705143e+12,18,16955,331
1.737801705143e+12,16,1220,13
1.737801705144e+12,23,55694,708
1.737801705145e+12,21,41127,435
1.737801705145e+12,16,1218,21
1.737801705146e+12,29,100098,46
1.737801705146e+12,16,1217,25
1.737801705146e+12,17,9210,631
1.737801705147e+12,19,24806,787
1.737801705148e+12,16,1215,29
1.737801705148e+12,25,70942,72
1.737801705148e+12,20,32912,246
1.737801705149e+12,16,1214,509
1.737801705149e+12,27,85374,587
1.73780170515e+12,29,100094,468
1.737801705151e+12,16,1212,281
1.737801705151e+12,26,78280,760
1.737801705151e+12,19,24802,390
1.737801705152e+12,23,55686,628
1.737801705152e+12,16,1211,33
1.737801705153e+12,18,16945,474
1.737801705154e+12,26,78277,595
1.737801705154e+12,16,1209,533
1.737801705154e+12,24,63390,603
1.737801705155e+12,16,1208,381
1.737801705156e+12,27,85367,742
1.737801705156e+12,18,16942,140
1.737801705157e+12,20,32903,151
1.737801705157e+12,16,1206,101
1.737801705157e+12,17,9199,459
1.737801705157e+12,18,16941,426
1.737801705158e+12,16,1205,681
1.737801705159e+12,29,100085,471
1.737801705159e+12,24,63385,150
1.73780170516e+12,19,24793,335
1.73780170516e+12,16,1203,413
1.73780170516e+12,17,9196,395
1.73780170516e+12,27,85363,458
1.737801705161e+12,26,78270,372
1.737801705161e+12,16,1202,105
1.737801705163e+12,18,16935,394
1.737801705163e+12,16,1200,361
1.737801705163e+12,17,9193,396
1.737801705163e+12,17,9193,703
1.737801705164e+12,16,1199,349
1.737801705165e+12,22,48038,698
1.737801705165e+12,23,55673,747
1.737801705165e+12,21,41107,546
1.737801705166e+12,16,1197,313
1.737801705166e+12,25,70924,7
1.737801705166e+12,20,32894,296
1.737801705167e+12,16,1196,549
1.737801705169e+12,21,41103,264
1.737801705169e+12,16,1194,269
1.73780170517e+12,16,1193,353
1.73780170517e+12,23,55668,58
1.737801705171e+12,20,32889,352
1.737801705172e+12,17,9184,658
1.737801705172e+12,16,1191,333
1.737801705172e+12,28,92721,786
1.737801705173e+12,16,1190,301
1.737801705173e+12,20,32887,798
1.737801705174e+12,16,1189,265
1.737801705174e+12,21,41098,602
1.737801705176e+12,16,1187,625
1.737801705176e+12,22,48027,700
1.737801705177e+12,23,55661,416
1.737801705177e+12,26,78254,575
1.737801705177e+12,16,1186,425
1.737801705178e+12,19,24775,310
1.737801705179e+12,29,100065,70
1.737801705179e+12,25,70911,480
1.737801705179e+12,16,1184,397
1.737801705179e+12,20,32881,370
1.73780170518e+12,16,1183,405
1.737801705181e+12,27,85342,715
1.737801705182e+12,28,92711,470
1.737801705182e+12,24,63362,720
1.737801705182e+12,16,1181,297
1.737801705183e+12,23,55655,338
1.737801705183e+12,16,1180,741
1.737801705184e+12,17,9172,688
1.737801705184e+12,26,78247,286
1.737801705185e+12,16,1178,93
1.737801705185e+12,27,85338,664
1.737801705186e+12,19,24767,438
1.737801705186e+12,16,1177,561
1.737801705187e+12,25,70903,696
1.737801705187e+12,16,1176,365
1.737801705188e+12,30,107593,76
1.737801705188e+12,23,55650,667
1.737801705189e+12,16,1174,117
1.737801705189e+12,20,32871,498
1.737801705189e+12,20,32871,744
1.73780170519e+12,16,1173,321
1.737801705191e+12,28,92702,198
1.737801705191e+12,19,24762,716
1.737801705191e+12,16,1172,469
1.737801705192e+12,20,32868,676
1.737801705192e+12,30,107589,690
1.737801705192e+12,30,107589,647
1.737801705192e+12,16,1171,565
1.737801705193e+12,22,48010,654
1.737801705193e+12,26,78238,732
1.737801705193e+12,28,92700,783
1.737801705193e+12,27,85330,510
1.737801705194e+12,16,1169,285
1.737801705194e+12,18,16904,74
1.737801705194e+12,17,9162,784
1.737801705195e+12,16,1168,709
1.737801705196e+12,16,1167,513
1.737801705197e+12,25,70893,616
1.737801705197e+12,17,9159,679
1.737801705197e+12,16,1166,53
1.737801705198e+12,30,107583,692
1.737801705198e+12,18,16900,662
1.737801705198e+12,20,32862,768
1.737801705199e+12,29,100045,574
1.737801705199e+12,16,1164,201
1.7378017052e+12,16,1163,81
1.7378017052e+12,22,48003,680
1.737801705201e+12,19,24752,599
1.737801705201e+12,21,41071,132
1.737801705201e+12,16,1162,401
1.737801705201e+12,19,24752,771
1.737801705202e+12,22,48001,14
1.737801705203e+12,16,1160,661
1.737801705203e+12,27,85320,120
1.737801705203e+12,17,9153,758
1.737801705204e+12,16,1159,521
1.737801705204e+12,23,55634,774
1.737801705205e+12,22,47998,684
1.737801705205e+12,16,1158,673
1.737801705206e+12,23,55632,778
1.737801705206e+12,25,70884,660
1.737801705206e+12,16,1157,609
1.737801705207e+12,22,47996,66
1.737801705207e+12,27,85316,766
1.737801705208e+12,16,1155,605
1.737801705208e+12,20,32852,711
1.737801705208e+12,22,47995,718
1.737801705209e+12,22,47994,659
1.737801705209e+12,16,1154,597
1.737801705209e+12,23,55629,722
1.73780170521e+12,26,78221,674
1.73780170521e+12,16,1153,785
1.737801705211e+12,16,1152,613
1.737801705213e+12,17,9143,694
1.737801705215e+12,22,47988,610
1.737801705215e+12,30,107566,770
1.737801705216e+12,29,100028,82
1.737801705218e+12,27,85305,618
1.737801705222e+12,29,100022,134
1.737801705225e+12,17,9131,622
1.737801705226e+12,27,85297,746
1.737801705227e+12,25,70863,478
1.737801705297e+12,18,16801,369
1.737801705297e+12,21,40975,457
1.737801705301e+12,30,107480,69
1.737801705302e+12,28,92591,377
1.737801705303e+12,22,47900,337
1.737801705306e+12,23,55532,341
1.737801705309e+12,17,9047,701
1.737801705309e+12,26,78122,745
1.73780170531e+12,26,78121,373
1.737801705312e+12,19,24641,569
1.737801705313e+12,22,47890,481
1.737801705315e+12,22,47888,61
1.737801705318e+12,30,107463,485
1.737801705319e+12,25,70771,765
1.737801705321e+12,22,47882,657
1.737801705323e+12,21,40949,73
1.737801705324e+12,28,92569,721
1.737801705325e+12,29,99919,629
1.737801705329e+12,25,70761,797
1.737801705331e+12,27,85192,777
1.737801705335e+12,26,78096,697
1.737801705337e+12,22,47866,637
1.737801705337e+12,26,78094,645
1.737801705339e+12,20,32721,621
1.737801705342e+12,26,78089,581
1.737801705345e+12,26,78086,773
1.737801705919e+12,20,32141,802
1.737801705936e+12,26,77495,1202
1.737801705937e+12,28,91956,1383
1.737801705939e+12,17,8417,816
1.737801705939e+12,22,47264,1020
1.73780170594e+12,26,77491,811
1.73780170594e+12,22,47263,1296
1.73780170594e+12,17,8416,952
1.73780170594e+12,18,16158,1207
1.73780170594e+12,23,54898,1381
1.73780170594e+12,20,32120,1315
1.737801705941e+12,30,106840,1388
1.737801705941e+12,17,8415,1285
1.737801705941e+12,23,54897,1351
1.737801705941e+12,24,62603,800
1.737801705942e+12,17,8414,1362
1.737801705942e+12,21,40330,892
1.737801705943e+12,28,91950,1408
1.737801705943e+12,18,16155,1373
1.737801705945e+12,17,8411,954
1.737801705946e+12,26,77485,1336
1.737801705946e+12,26,77485,1533
1.737801705946e+12,18,16152,1326
1.737801705946e+12,26,77485,1019
1.737801705947e+12,28,91946,1004
1.737801705947e+12,23,54891,1357
1.737801705948e+12,17,8408,1216
1.737801705948e+12,28,91945,1219
1.737801705949e+12,22,47254,837
1.737801705949e+12,20,32111,915
1.73780170595e+12,29,99294,1224
1.73780170595e+12,30,106831,1251
1.737801705951e+12,19,24002,1092
1.737801705951e+12,30,106830,831
1.737801705952e+12,27,84571,1432
1.737801705952e+12,18,16146,1218
1.737801705953e+12,27,84570,1420
1.737801705953e+12,26,77478,1367
1.737801705953e+12,30,106828,917
1.737801705953e+12,18,16145,1206
1.737801705955e+12,18,16143,1561
1.737801705955e+12,23,54883,1354
1.737801705957e+12,19,23996,1422
1.737801705957e+12,20,32103,1104
