txIdx,timestamp,height,latency
0,1.73779056986e+12,66,1205
1,1.737790569804e+12,66,1261
2,1.737790569755e+12,66,1310
3,1.737790569718e+12,66,1347
4,1.737790569859e+12,66,1206
5,1.737790569719e+12,66,1346
6,1.737790569718e+12,66,1347
7,1.737790569803e+12,68,6819
8,1.737790569756e+12,66,1309
9,1.737790569751e+12,66,1314
10,1.737790569717e+12,66,1348
11,1.73779056975e+12,66,1315
12,1.73779056986e+12,66,1205
13,1.737790569756e+12,66,1309
14,1.737790569756e+12,66,1309
15,1.737790569852e+12,68,6770
16,1.737790569755e+12,66,1310
17,1.737790569854e+12,67,2543
18,1.737790569841e+12,67,2556
19,1.737790569717e+12,66,1348
20,1.737790569718e+12,66,1347
21,1.737790569756e+12,66,1309
22,1.737790569718e+12,66,1347
23,1.737790569803e+12,66,1262
24,1.737790569718e+12,66,1347
25,1.737790569851e+12,66,1214
26,1.737790569718e+12,66,1347
27,1.737790569755e+12,66,1310
28,1.737790569755e+12,66,1310
29,1.737790569755e+12,66,1310
30,1.737790569798e+12,66,1267
31,1.737790569718e+12,66,1347
32,1.737790569755e+12,66,1310
33,1.737790569718e+12,66,1347
34,1.737790569717e+12,66,1348
35,1.737790569804e+12,68,6818
36,1.737790569869e+12,66,1196
37,1.737790569718e+12,66,1347
38,1.737790569862e+12,66,1203
39,1.737790569796e+12,66,1269
40,1.737790569755e+12,66,1310
41,1.737790569718e+12,66,1347
42,1.737790569841e+12,67,2556
43,1.737790569755e+12,66,1310
44,1.737790569752e+12,66,1313
45,1.737790569719e+12,66,1346
46,1.737790569833e+12,66,1232
47,1.73779056986e+12,66,1205
48,1.737790569831e+12,66,1234
49,1.737790569831e+12,66,1234
50,1.737790569798e+12,66,1267
51,1.737790569752e+12,66,1313
52,1.737790569855e+12,66,1210
53,1.737790569852e+12,66,1213
54,1.737790569756e+12,66,1309
55,1.737790569836e+12,68,6786
56,1.737790569855e+12,66,1210
57,1.737790569837e+12,67,2560
58,1.737790569716e+12,66,1349
59,1.737790569803e+12,66,1262
60,1.737790569853e+12,66,1212
61,1.737790569865e+12,66,1200
62,1.737790569862e+12,67,2535
63,1.737790569831e+12,66,1234
64,1.737790569851e+12,66,1214
65,1.737790569755e+12,68,6867
66,1.737790569752e+12,66,1313
67,1.737790569804e+12,68,6818
68,1.73779056986e+12,66,1205
69,1.737790569832e+12,66,1233
70,1.737790569752e+12,66,1313
71,1.737790569798e+12,66,1267
72,1.737790569756e+12,66,1309
73,1.737790569752e+12,67,2645
74,1.737790569716e+12,66,1349
75,1.737790569757e+12,66,1308
76,1.737790569752e+12,66,1313
77,1.737790569717e+12,66,1348
78,1.737790569756e+12,67,2641
79,1.737790569756e+12,66,1309
80,1.737790569756e+12,66,1309
81,1.737790569856e+12,66,1209
82,1.737790569853e+12,67,2544
83,1.737790569859e+12,67,2538
84,1.737790569756e+12,66,1309
85,1.737790569805e+12,67,2592
86,1.737790569831e+12,67,2566
87,1.737790569757e+12,66,1308
88,1.737790569863e+12,66,1202
89,1.737790569854e+12,67,2543
90,1.737790569752e+12,66,1313
91,1.737790569831e+12,67,2566
92,1.737790569756e+12,66,1309
93,1.737790569717e+12,66,1348
94,1.737790569861e+12,67,2536
95,1.737790569756e+12,66,1309
96,1.737790569755e+12,66,1310
97,1.737790569752e+12,66,1313
98,1.737790569866e+12,66,1199
99,1.737790569757e+12,67,2640
100,1.737790569755e+12,66,1310
101,1.737790569804e+12,67,2593
102,1.737790569755e+12,66,1310
103,1.737790569756e+12,66,1309
104,1.737790569831e+12,66,1234
105,1.737790569865e+12,66,1200
106,1.737790569855e+12,67,2542
107,1.737790569853e+12,68,6769
108,1.737790569757e+12,66,1308
109,1.737790569752e+12,66,1313
110,1.737790569756e+12,67,2641
111,1.737790569716e+12,66,1349
112,1.737790569756e+12,66,1309
113,1.737790569866e+12,67,2531
114,1.737790569751e+12,66,1314
115,1.737790569757e+12,66,1308
116,1.737790569756e+12,66,1309
117,1.737790569717e+12,66,1348
118,1.737790569853e+12,67,2544
119,1.737790569852e+12,66,1213
120,1.737790569757e+12,66,1308
121,1.73779056986e+12,66,1205
122,1.737790569751e+12,66,1314
123,1.737790569853e+12,68,6769
124,1.737790569756e+12,66,1309
125,1.737790569842e+12,69,11691
126,1.737790569716e+12,66,1349
127,1.737790569856e+12,68,6766
128,1.737790569852e+12,66,1213
129,1.737790569758e+12,69,11775
130,1.737790569865e+12,67,2532
131,1.73779056986e+12,67,2537
132,1.737790569757e+12,66,1308
133,1.737790569862e+12,69,11671
134,1.737790569855e+12,67,2542
135,1.7377905698e+12,67,2597
136,1.737790569757e+12,66,1308
137,1.73779056986e+12,66,1205
138,1.737790569854e+12,67,2543
139,1.737790569798e+12,67,2599
140,1.737790569859e+12,66,1206
141,1.737790569752e+12,66,1313
142,1.737790569853e+12,67,2544
143,1.737790569855e+12,66,1210
144,1.737790569856e+12,66,1209
145,1.737790569852e+12,67,2545
146,1.737790569831e+12,66,1234
147,1.737790569798e+12,66,1267
148,1.737790569758e+12,66,1307
149,1.737790569852e+12,69,11681
150,1.737790569851e+12,67,2546
151,1.737790569852e+12,66,1213
152,1.737790569853e+12,66,1212
153,1.737790569752e+12,69,11781
154,1.737790569853e+12,67,2544
155,1.737790569855e+12,68,6767
156,1.737790569858e+12,66,1207
157,1.737790569865e+12,66,1200
158,1.737790569854e+12,67,2543
159,1.737790569806e+12,68,6816
160,1.737790569848e+12,66,1217
161,1.737790569752e+12,67,2645
162,1.737790569857e+12,67,2540
163,1.737790569851e+12,68,6771
164,1.737790569856e+12,66,1209
165,1.737790569861e+12,69,11672
166,1.737790569758e+12,67,2639
167,1.737790569859e+12,68,6763
168,1.737790569756e+12,66,1309
169,1.737790569752e+12,66,1313
170,1.737790569856e+12,67,2541
171,1.737790569852e+12,68,6770
172,1.737790569855e+12,66,1210
173,1.737790569756e+12,66,1309
174,1.737790569756e+12,67,2641
175,1.737790569859e+12,67,2538
176,1.737790569869e+12,66,1196
177,1.737790569832e+12,69,11701
178,1.737790569856e+12,67,2541
179,1.737790569756e+12,66,1309
180,1.737790569862e+12,66,1203
181,1.737790569865e+12,69,11668
182,1.737790569853e+12,67,2544
183,1.737790569855e+12,66,1210
184,1.737790569757e+12,66,1308
